Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R14,R15,Tot
"Atkins, Tom",12,8,10,8,7,5,11,9,13,7,17,10,6,8,131.0
"Bews, Jed",5,3,6,1,,,8,8,8,6,5,7,5,4,66.0
"Blicavs, Mark",8,10,10,3,7,8,7,8,10,6,10,7,7,4,105.0
"Bowes, Jack",,5,6,8,7,5,2,,,,,,1,1,35.0
"Bruhn, Tanner",8,6,4,,,,2,5,5,6,5,5,6,6,58.0
"Cameron, Jeremy",-,3,2,2,5,5,7,1,5,2,4,7,2,-,45.0
"Ceglar, Jonathon",,,10,,,,,6,6,5,13,2,,,42.0
"Clark, Jhye",,,,,,,,,2,,,,,,2.0
"Close, Brad",5,5,6,7,8,7,5,10,,5,9,8,7,13,95.0
"Dangerfield, Patrick",13,14,5,10,13,16,9,3,,,,,4,,87.0
"De Koning, Sam",5,10,1,,5,4,8,,,,5,6,4,6,54.0
"Dempsey, Oliver",,,,,,,,3,7,2,,,,,12.0
"Duncan, Mitch",,,,10,6,9,3,3,10,,,,5,3,49.0
"Guthrie, Cameron",5,6,14,7,9,16,,,,,,,,,57.0
"Guthrie, Zach",4,6,4,7,4,6,5,7,5,3,2,3,7,3,66.0
"Hawkins, Tom",5,2,-,6,6,1,3,6,5,2,5,-,4,5,50.0
"Henry, Jack",,,,,,,,,,3,3,3,1,4,14.0
"Henry, Oliver",7,4,3,3,5,6,9,2,3,,5,4,4,3,58.0
"Holmes, Max",7,12,7,14,8,8,10,9,6,6,,,9,5,101.0
"Knevitt, Mitch",,,,,,1,8,9,5,2,1,5,,,31.0
"Kolodjashnij, Jake",,,,6,8,7,3,5,4,1,8,4,3,2,51.0
"Miers, Gryan",12,8,7,13,5,7,10,6,7,5,11,6,5,8,110.0
"Mullin, Oisin",,,,,,,,,,,5,7,,,12.0
"OConnor, Mark",7,4,4,9,7,5,3,5,2,3,8,7,11,8,83.0
"Parfitt, Brandan",5,,,,8,,,,3,6,6,,,,28.0
"Ratugolea, Esava",2,2,4,2,3,5,2,6,6,5,1,,,,38.0
"Rohan, Gary",3,3,2,5,,3,1,,,,,2,4,4,27.0
"Simpson, Sam",,,,,,7,3,4,8,5,,2,,,29.0
"Smith, Isaac",2,10,8,10,8,11,9,7,12,4,6,5,9,4,105.0
"Stanley, Rhys",6,11,,2,6,,,,,,,,,3,28.0
"Stengle, Tyson",7,3,5,2,2,,,,,2,8,6,4,3,42.0
"Stewart, Tom",-,,5,4,7,4,2,7,5,3,7,4,4,2,54.0
"Tuohy, Zach",5,5,4,5,4,4,,3,3,9,6,7,10,6,71.0
"Whyte, Cooper",,-,,,,,,,,,,,,,
Totals,133,140,127,144,148,150,130,132,140,98,150,117,122,105,1836.0
Opponent,CW,CA,GC,HW,WC,SY,ES,AD,RI,FR,GW,WB,PA,ME,
