Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Baker, Oskar",76,80,75,84,81,81,79,75,75,77,71,72,34,77,,74.0/1275:30
"Bontempelli, Marcus",83,82,89,85,83,83,84,81,87,84,82,79,80,86,89,83.8/1550:58
"Bruce, Josh",96,97,97,100,74,,,,,,,,92,,,92.7/672:39
"Crozier, Hayden",,80,62,46,,,,,,,,,,,,62.5/223:13
"Dale, Bailey",84,87,78,83,76,79,85,79,85,85,88,80,93,84,83,83.3/1540:28
"Daniel, Caleb",78,77,81,79,82,74,84,79,82,80,85,82,91,79,83,81.1/1499:23
"Darcy, Sam",58,50,,,,,,,,,,,,,,54.1/131:33
"Duryea, Taylor",78,84,,,76,83,79,72,79,87,78,80,78,81,75,79.2/1276:40
"English, Tim",85,87,89,85,89,87,85,86,86,82,86,86,81,84,83,85.4/1579:60
"Garcia, Riley",,83,68,,,,,,,,,,,,,75.5/178:11
"Gardner, Ryan",,,,,,,,95,95,87,100,100,,,96,95.5/715:45
"Hannan, Mitch",81,,,62,71,,,,,,18,,,81,61,62.1/463:35
"Johannisen, Jason",75,,75,81,82,78,80,79,76,49,,,,,,74.9/828:12
"Jones, Arthur",,,69,79,75,77,79,78,74,69,77,78,68,,,74.8/1014:24
"Jones, Liam",40,87,100,100,100,97,96,100,100,100,100,97,100,5,,87.1/1501:23
"Keath, Alex",95,79,100,15,,95,84,94,88,,,,85,100,100,85.2/1153:60
"Liberatore, Tom",81,79,81,82,82,74,,80,85,84,81,80,84,85,76,81.0/1399:25
"Lobb, Rory",95,,72,94,90,88,88,81,89,87,84,87,76,87,76,85.3/1477:27
"Macrae, Jack",78,78,80,74,78,78,78,81,68,76,82,81,78,89,77,78.4/1450:11
"McComb, Robbie",,25,14,65,,,,,,,,,,,,34.9/125:39
"McLean, Toby",38,82,,,17,54,-,,,,,,,,,38.1/233:18
"McNeil, Lachlan",,,,,,20,66,18,10,31,55,21,,69,70,40.1/451:37
"Naughton, Aaron",85,81,86,91,86,86,87,86,92,86,85,86,80,92,86,86.4/1597:04
"OBrien, Tim",,,,,88,87,96,,,82,82,83,,42,,79.9/697:53
"ODonnell, James",,,,,,,,,47,71,68,72,46,,87,65.3/490:05
"Poulter, Caleb",,,,,,,,,,,,,,,69,69.0/87:20
"Richards, Ed",87,86,88,90,82,88,80,83,86,77,85,54,,,,82.2/1210:23
"Scott, Anthony",84,79,77,79,74,78,76,75,80,75,79,80,78,80,84,78.6/1453:56
"Smith, Bailey",84,81,80,89,,,84,85,77,88,82,82,88,82,81,83.3/1334:38
"Treloar, Adam",76,,84,81,80,82,82,54,,,,78,77,78,77,77.2/1045:26
"Ugle-Hagan, Jamarra",83,79,75,76,76,80,75,84,83,81,86,83,87,90,88,81.8/1513:03
"Vandermeer, Laitham",,,,,,,,,,,,,73,81,76,76.7/289:32
"Weightman, Cody",,,,,74,72,72,72,71,79,66,74,79,84,80,74.8/1024:59
"West, Rhylee",,76,,,,,,,,,,,67,85,21,61.9/306:46
"Williams, Bailey",80,80,80,77,82,78,81,83,82,81,79,84,84,80,80,80.7/1493:00
Totals,,,,,,,,,,,,,,,,
Opponent,ME,SK,BL,RI,PA,FR,HW,GW,CA,AD,GC,GE,PA,NM,FR,
