Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R16,Tot
"Bergman, Miller",1,-,-,,,,,-,-,-,-,-,-,-,-,1.0
"Bonar, Aiden",1,,,-,,,,,,,,,,,,1.0
"Coleman-Jones, Callum",,,,,,,-,,,2,1,3,2,2,-,10.0
"Comben, Charlie",-,-,1,-,2,1,-,,,,,,,,,4.0
"Corr, Aidan",,-,-,-,-,-,-,2,-,,,,-,-,-,2.0
"Cunnington, Ben",1,-,-,-,-,-,-,-,,,,,,,,1.0
"Curtis, Paul",1,-,1,-,,1,1,-,-,1,-,,1,-,-,6.0
"Davies-Uniacke, Luke",-,-,,-,-,-,,-,-,,,,,,-,
"Drury, Blake",,,,,,,,-,-,-,,,,,,
"Ford, Eddie",,,,,,,,,,-,1,1,1,-,-,3.0
"Goater, Josh",-,-,-,,,,,,,,,,,,,
"Goldstein, Todd",,-,-,-,-,-,1,4,2,-,1,1,-,1,-,10.0
"Greenwood, Hugh",-,1,-,-,2,,,,1,1,1,-,,-,-,6.0
"Hall, Aaron",,,,,,-,1,,,-,-,-,-,,,1.0
"Howe, Daniel",,-,-,-,-,-,-,,,-,1,,,,,1.0
"Larkey, Nick",1,-,1,1,1,1,1,2,1,-,1,4,-,3,-,17.0
"Lazzaro, Charlie",,,,,,,,-,,,-,,,,,
"Logue, Griffin",1,2,2,,2,1,-,1,-,-,1,1,2,-,2,15.0
"Mahony, Jack",,,,,,,,-,-,,,,,,,
"McDonald, Luke",-,-,-,2,1,-,-,-,-,1,1,-,-,1,-,6.0
"McKay, Ben",,,,,-,2,-,4,1,2,1,2,-,3,3,18.0
"Perez, Flynn",,,,,,,,-,-,,,,,,,
"Phillips, Will",-,,2,-,-,-,,,,-,-,-,-,-,-,2.0
"Powell, Tom",-,-,-,-,-,-,-,,,-,-,-,-,-,,
"Scott, Bailey",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
"Sheezel, Harry",-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,3.0
"Shiels, Liam",1,1,1,-,-,-,1,-,-,-,,-,-,-,-,4.0
"Simpkin, Jy",-,1,,-,-,,-,-,-,-,-,-,,-,-,1.0
"Spicer, Phoenix",,,,,,,,,-,-,-,-,-,-,,
"Stephenson, Jaidyn",-,-,-,-,-,-,-,2,-,-,1,1,-,1,-,5.0
"Taylor, Curtis",1,-,1,-,-,-,1,-,-,,,,,,,3.0
"Thomas, Tarryn",,,,,,,,,,,,-,-,-,-,
"Tucker, Darcy",,,-,2,-,1,-,-,-,,,-,-,,-,3.0
"Turner, Kayne",-,-,-,1,-,1,-,,,,,,,,,2.0
"Wardlaw, George",,,,,,,,,,-,-,-,-,-,1,1.0
"Xerri, Tristan",1,,,,,,,,,,,,,,,1.0
"Ziebell, Jack",-,-,2,-,-,1,1,-,2,-,1,-,-,-,1,8.0
"Zurhaar, Cameron",-,-,-,-,-,-,1,1,1,,2,-,1,3,-,9.0
Totals,9,5,11,6,8,9,9,16,8,7,14,13,7,14,8,144.0
Opponent,WC,FR,HW,CA,BL,GC,ME,SK,PA,SY,CW,ES,GW,WB,AD,
