Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,Tot
"Amon, Karl",80,80,82,80,87,88,82,85,82,81,83,86,84,79,82.8/1417:14
"Blanck, James",83,85,,,,,,,32,84,91,91,89,82,79.8/784:50
"Bramble, Lachlan",87,81,27,,,,,37,53,85,84,84,67,77,68.6/836:53
"Breust, Luke",80,78,86,85,83,77,75,,84,82,74,81,45,82,77.8/1236:05
"Brockman, Tyler",,,77,36,81,71,77,68,,73,48,74,70,82,68.8/929:16
"Butler, Sam",,37,,,,,,,85,80,78,72,80,36,67.3/580:08
"Day, Will",88,77,83,84,,,80,82,80,84,81,84,85,84,82.7/1211:29
"Frost, Sam",91,96,89,87,98,97,94,89,93,91,90,90,,96,92.4/1466:40
"Grainger-Barras, Denver",,,,,85,73,,,,,,,,,78.9/194:10
"Greene, Fergus",82,80,87,82,89,92,77,54,,,,,,,80.4/777:21
"Hardwick, Blake",90,82,87,87,89,90,90,81,89,82,89,91,88,86,87.2/1493:38
"Impey, Jarman",75,79,77,80,82,78,75,82,80,80,83,81,82,85,79.9/1368:47
"Jiath, Changkuoth",76,84,77,75,81,79,75,,72,,,,,,77.4/747:25
"Koschitzke, Jacob",49,88,,,,,,,82,74,89,87,77,84,78.8/774:49
"Lewis, Mitch",,,,,,,80,84,88,89,91,85,90,81,86.0/849:26
"Long, Ned",,,,,75,62,,,,,,,,,68.4/168:19
"Lynch, Max",,,,,,34,,,,,,,,,34.0/42:23
"Macdonald, Bailey",,,,,,,,,,,,78,,,78.0/104:44
"Macdonald, Connor",79,78,68,82,76,73,,77,,41,38,74,83,80,70.7/1038:57
"Mackenzie, Cam",80,87,71,76,36,68,,,74,80,69,47,40,73,66.5/976:13
"Maginness, Finn",96,84,57,83,,,,,,,,,,,80.3/383:25
"Meek, Lloyd",71,77,87,79,70,,,80,81,87,64,31,76,45,70.4/1032:53
"Mitchell, Seamus",,,,,69,87,47,80,79,85,77,,78,85,76.4/840:30
"Moore, Dylan",80,87,86,94,89,89,86,88,84,79,89,85,89,89,86.7/1483:23
"Morrison, Harry",,,75,77,87,88,84,84,77,,,,,,81.8/695:51
"Nash, Conor",41,84,84,81,82,83,83,76,79,78,80,76,80,73,77.2/1320:07
"Newcombe, Jai",86,80,88,82,85,84,83,84,85,74,77,76,78,74,81.1/1387:15
"Ramsden, Max",,,,,,,73,,,,,,,,73.0/89:45
"Reeves, Ned",71,34,84,81,81,85,83,73,,46,77,79,72,76,72.5/1152:15
"Scrimshaw, Jack",,,77,75,,50,38,88,,,,81,78,85,71.5/702:40
"Sicily, James",93,90,99,91,97,95,93,93,95,89,93,,97,,93.7/1369:11
"Ward, Josh",83,77,79,78,70,,78,73,,,,,,,76.8/648:32
"Weddle, Josh",,,,,,,83,82,79,85,82,88,88,84,83.9/829:49
"Wingard, Chad",59,,,44,32,80,84,84,71,,,,,,64.9/555:43
"Worpel, James",81,75,75,81,77,77,80,76,77,72,74,78,84,83,77.9/1332:05
Totals,,,,,,,,,,,,,,,
Opponent,ES,SY,NM,GE,GW,AD,WB,FR,ME,WC,SK,PA,BL,GC,
