Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,Tot
"Ah Chee, Callum",,,,,,,,,,5,,,-,,5.0
"Andrews, Harris",11,22,21,15,14,9,20,13,19,14,5,16,7,21,207.0
"Answerth, Noah",,,5,,,,7,16,4,,,,,,32.0
"Ashcroft, Will",13,31,23,26,23,19,28,13,28,30,17,20,23,16,310.0
"Bailey, Zac",16,10,13,18,21,17,19,12,13,12,25,19,26,16,237.0
"Berry, Jarrod",15,17,18,21,15,12,16,29,10,20,11,15,18,19,236.0
"Cameron, Charlie",6,12,8,14,14,15,12,12,9,7,8,11,7,8,143.0
"Coleman, Keidean",15,,13,16,14,16,14,14,20,13,18,6,20,12,191.0
"Daniher, Joe",10,12,7,20,18,16,14,15,16,16,8,10,12,19,193.0
"Dunkley, Josh",19,26,24,25,25,21,28,33,22,29,29,28,28,26,363.0
"Fletcher, Jaspa",,,,,,,,,,,,,13,12,25.0
"Fort, Darcy",,12,9,,13,,,,,,,,8,2,44.0
"Gardiner, Darcy",,,,,,,,,,,8,6,,,14.0
"Gunston, Jack",9,13,10,6,,12,7,15,7,17,5,6,,,107.0
"Hipwood, Eric",4,7,6,8,15,7,8,14,14,9,3,10,11,12,128.0
"Joyce, Darragh",,9,8,6,13,7,,,,,,,,,43.0
"Lester, Ryan",,,,,,,13,9,19,11,10,,11,18,91.0
"Lohmann, Kai",,,,,,,,,,,,,14,6,20.0
"Lyons, Jarryd",,,,,7,7,,2,,,,,,,16.0
"Madden, James",,,,,,,,,,,-,,,,
"McCarthy, Lincoln",8,10,8,11,17,9,11,8,11,8,18,14,14,12,159.0
"McCluggage, Hugh",13,21,19,22,21,21,21,27,26,30,16,18,,20,275.0
"McInerney, Oscar",11,9,12,18,10,11,13,16,12,13,13,8,18,10,174.0
"McKenna, Conor",20,15,19,19,15,15,14,14,14,15,14,15,18,18,225.0
"Neale, Lachie",20,27,31,22,37,20,35,20,34,35,26,30,29,29,395.0
"Payne, Jack",4,11,13,7,11,11,14,13,9,15,,10,10,13,141.0
"Prior, Jaxon",2,,,12,,,,,,,,6,,,20.0
"Rayner, Cam",14,16,15,17,16,15,12,9,20,14,15,14,14,11,202.0
"Rich, Daniel",26,14,,,13,27,20,,,,24,13,,,137.0
"Robertson, Deven",6,1,,1,,,,,,,,19,15,7,49.0
"Sharp, Harry",,,,,,,,13,17,10,,,,,40.0
"Starcevich, Brandon",4,8,20,16,15,5,13,13,11,13,10,12,4,10,154.0
"Tunstill, James",7,,,,,,,,,,,,,,7.0
"Wilmot, Darcy",11,13,15,8,10,8,15,8,16,22,12,18,19,16,191.0
"Zorko, Dayne",,22,19,16,22,17,19,,25,13,22,,,,175.0
Totals,264,338,336,344,379,317,373,338,376,371,317,324,339,333,4749.0
Opponent,PA,ME,WB,CW,NM,GW,FR,CA,ES,GC,AD,HW,SY,SK,
