Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R13,R14,R15,Tot
"Ah Chee, Callum",,,,,,,,,,2,,,-,,2.0
"Andrews, Harris",6,4,5,3,5,2,5,2,4,3,1,6,1,3,50.0
"Answerth, Noah",,,2,,,,5,5,2,,,,,,14.0
"Ashcroft, Will",3,17,11,14,12,12,12,7,13,11,11,11,15,8,157.0
"Bailey, Zac",5,6,4,6,8,7,2,4,5,4,10,5,9,8,83.0
"Berry, Jarrod",7,6,7,5,3,7,7,12,6,7,4,7,3,7,88.0
"Cameron, Charlie",1,3,1,1,2,5,6,4,2,1,1,-,4,3,34.0
"Coleman, Keidean",4,,4,4,3,5,5,3,2,3,3,1,5,2,44.0
"Daniher, Joe",3,-,1,6,-,-,4,5,2,2,1,1,1,4,30.0
"Dunkley, Josh",16,12,7,13,14,14,17,11,11,16,20,15,16,11,193.0
"Fletcher, Jaspa",,,,,,,,,,,,,7,5,12.0
"Fort, Darcy",,5,2,,4,,,,,,,,4,1,16.0
"Gardiner, Darcy",,,,,,,,,,,2,1,,,3.0
"Gunston, Jack",2,1,3,1,,3,3,4,2,1,1,1,,,22.0
"Hipwood, Eric",1,-,1,1,3,2,2,5,6,3,2,1,2,1,30.0
"Joyce, Darragh",,2,1,1,1,1,,,,,,,,,6.0
"Lester, Ryan",,,,,,,4,-,5,1,2,,3,8,23.0
"Lohmann, Kai",,,,,,,,,,,,,6,3,9.0
"Lyons, Jarryd",,,,,1,3,,1,,,,,,,5.0
"Madden, James",,,,,,,,,,,-,,,,
"McCarthy, Lincoln",4,5,4,5,5,4,3,4,3,2,7,4,4,1,55.0
"McCluggage, Hugh",6,7,8,13,9,8,2,12,10,16,6,7,,8,112.0
"McInerney, Oscar",6,3,9,11,7,2,7,5,5,3,4,3,8,1,74.0
"McKenna, Conor",8,4,5,5,4,1,1,2,-,4,2,3,4,2,45.0
"Neale, Lachie",12,10,19,16,21,13,21,11,18,21,14,15,21,17,229.0
"Payne, Jack",-,-,3,2,2,2,3,1,-,4,,2,2,5,26.0
"Prior, Jaxon",-,,,1,,,,,,,,1,,,2.0
"Rayner, Cam",5,3,5,6,9,9,6,3,12,6,5,7,4,2,82.0
"Rich, Daniel",3,4,,,5,4,3,,,,2,3,,,24.0
"Robertson, Deven",3,-,,-,,,,,,,,12,6,3,24.0
"Sharp, Harry",,,,,,,,2,4,-,,,,,6.0
"Starcevich, Brandon",1,1,4,8,6,1,3,1,1,1,1,2,-,-,30.0
"Tunstill, James",5,,,,,,,,,,,,,,5.0
"Wilmot, Darcy",1,1,4,2,3,2,5,5,4,4,3,8,5,-,47.0
"Zorko, Dayne",,6,10,5,6,2,7,,8,3,8,,,,55.0
Totals,102,100,120,129,133,109,133,109,125,118,110,116,130,103,1637.0
Opponent,PA,ME,WB,CW,NM,GW,FR,CA,ES,GC,AD,HW,SY,SK,
