Player,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R15,R16,Tot
"Berry, Sam",1,-,1,,,,,,,-,,,,,,2.0
"Brown, Tyler",-,,,,,,,,,,,,,,,
"Butts, Jordon",2,,7,3,2,1,5,4,6,4,6,10,7,8,3,68.0
"Crouch, Matt",,,,,,,,1,,,,,,,,1.0
"Dawson, Jordan",1,2,2,1,3,1,5,2,2,-,2,-,-,1,1,23.0
"Doedee, Tom",7,7,7,7,6,3,4,5,7,,11,-,,,,64.0
"Fogarty, Darcy",2,1,,,1,1,1,1,4,2,-,1,-,-,2,16.0
"Gollant, Lachlan",,,3,2,,,,,,1,,,,,,6.0
"Himmelberg, Elliott",1,4,,,,,,,,1,,,,,,6.0
"Hinge, Mitch",2,5,2,2,3,4,1,4,6,3,,5,1,1,1,40.0
"Jones, Chayce",,,-,3,2,1,2,2,1,-,1,5,-,3,2,22.0
"Keays, Ben",-,1,1,-,2,2,1,-,2,1,3,1,1,-,-,15.0
"Laird, Rory",1,-,2,1,2,2,2,-,2,-,-,1,-,2,1,16.0
"McAdam, Shane",1,,,,,,,,,,,,,,,1.0
"McHenry, Ned",,,,-,-,-,,,-,,1,-,1,1,-,3.0
"Michalanney, Max",3,3,2,8,1,2,2,1,3,4,2,4,2,3,5,45.0
"Milera, Wayne",4,,1,1,2,2,2,-,2,6,1,-,-,1,2,24.0
"Murphy, Lachlan",,1,1,2,2,2,2,2,1,1,-,1,1,-,1,17.0
"Murray, Nick",4,11,8,12,12,9,7,4,,12,8,10,5,3,9,114.0
"OBrien, Reilly",1,2,1,5,3,3,1,6,2,7,5,5,3,4,3,51.0
"Parnell, Patrick",,-,,,,,,,1,-,-,,,,,1.0
"Pedlar, Luke",1,2,-,,2,-,1,-,-,-,1,1,2,1,1,12.0
"Rachele, Josh",1,-,1,1,1,1,-,-,2,1,1,1,-,1,2,13.0
"Rankine, Izak",-,-,-,-,1,1,-,2,-,1,5,2,-,-,-,12.0
"Schoenberg, Harry",2,-,,-,,,-,,,,,,,,,2.0
"Sholl, Lachlan",,-,-,-,1,-,-,1,-,-,-,-,1,-,-,3.0
"Sloane, Rory",4,2,2,3,1,-,-,-,3,1,4,1,6,3,-,30.0
"Smith, Brodie",1,1,5,1,2,1,5,2,3,1,,1,1,1,2,27.0
"Soligo, Jake",-,1,-,-,1,3,4,3,1,-,-,-,2,-,2,17.0
"Thilthorpe, Riley",,3,2,-,1,3,4,2,2,,-,2,1,3,1,24.0
"Walker, Taylor",3,1,1,1,1,1,-,2,2,,-,-,-,2,2,16.0
"Worrell, Josh",,,,,,,,,,,6,,3,5,6,20.0
Totals,42,47,49,53,52,43,49,44,52,46,57,51,37,43,46,711.0
Opponent,GW,RI,PA,FR,CA,HW,CW,GE,SK,WB,BL,GC,WC,CW,NM,
